,listing_id,negative_sentiment,neutral_sentiment,positive_sentiment,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
0,3353,0.0263529411764705,0.7042058823529412,0.2693823529411765,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$40.00,0,0,0,249,34,9.0,8.0,9.0,9.0,9.0,9.0,0.38
1,5506,0.0115833333333333,0.7160555555555556,0.2723888888888888,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Heating,Washer,Dryer}",$145.00,14,39,69,344,36,9.0,10.0,10.0,10.0,9.0,10.0,0.4
2,6695,0.0173191489361702,0.732872340425532,0.2497872340425532,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$195.00,3,19,49,324,47,9.0,10.0,10.0,10.0,8.0,9.0,0.54
3,6976,0.0108536585365853,0.7244878048780488,0.2646585365853658,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$65.00,19,46,61,319,41,10.0,9.0,10.0,10.0,9.0,10.0,0.47
4,8792,0.0157222222222222,0.6900555555555555,0.2942777777777777,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,""Elevator in Building"",Heating}",$154.00,0,0,0,248,18,10.0,9.0,10.0,9.0,10.0,10.0,0.21
5,9273,0.017076923076923,0.7657692307692308,0.2171538461538461,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer}",$225.00,29,59,89,364,13,10.0,10.0,10.0,10.0,9.0,9.0,0.18
6,9765,0.0362222222222222,0.7316666666666667,0.232,Apartment,Entire home/apt,2,1.0,,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Indoor Fireplace"",Heating,Washer,Dryer}",$229.00,27,57,87,362,9,10.0,10.0,10.0,9.0,10.0,8.0,0.15
7,9824,0.0338181818181818,0.6991818181818181,0.2670454545454545,Apartment,Entire home/apt,2,1.0,,1.0,Real Bed,"{""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating}",$209.00,10,29,48,323,22,8.0,9.0,10.0,9.0,10.0,8.0,0.35
8,9855,0.0053333333333333,0.7103333333333333,0.2846666666666667,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Pool,Kitchen,""Pets Allowed"",Gym,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$259.00,29,59,89,364,3,,,,,,,0.04
9,9857,0.0087619047619047,0.6473809523809524,0.3438571428571428,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials}",$342.00,15,42,72,347,21,9.0,10.0,10.0,10.0,10.0,9.0,0.35
10,9858,0.0,1.0,0.0,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Wheelchair Accessible"",Kitchen,Gym,""Elevator in Building"",Heating,Washer,Dryer,Essentials}",$449.00,29,59,89,364,1,,,,,,,0.07
11,9860,0.0419090909090909,0.6478636363636364,0.3101818181818181,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$251.00,18,48,78,353,22,8.0,9.0,10.0,9.0,10.0,9.0,0.28
12,9870,0.0123333333333333,0.6076666666666667,0.3801666666666667,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer}",$279.00,27,57,87,362,6,9.0,7.0,10.0,9.0,10.0,8.0,0.12
13,10730,0.0168095238095238,0.6952857142857143,0.2878571428571428,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Air Conditioning"",Kitchen,""Elevator in Building"",Heating}",$150.00,0,0,0,94,21,10.0,9.0,10.0,10.0,10.0,9.0,0.25
14,10758,0.023,0.7535000000000001,0.2235,,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher""}",$115.00,3,13,43,43,2,6.0,5.0,8.0,8.0,8.0,7.0,0.09
15,10807,0.0,1.0,0.0,House,Private room,2,1.0,1.0,1.0,Real Bed,{},$80.00,3,3,3,243,1,10.0,4.0,4.0,6.0,8.0,8.0,0.04
